bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-01_task-OP_bold	0.0029732007575757574	0.008343997954545455	0	20.522938845901326	1.104645800872865	1.0311506994876671	0.5156262582909088	3360.933837890625	0.040257258674070824	0	0.0	1.6561044444444446	1.5538666666666667	1.7789233333333332	1.6355233333333334	0.119391	-0.00585014745593071	0.028570299968123436	528	64	64	42	6.707408576014752	2.5	3.0	3.0	3.0	30.674462492600334	9.471245454048104	28.35516357421875	12.543560981750488	102172.0	3.9166667461395264	101.26922683715816	49.10917282104492	1.25776254357773	94.54394359573168	654.910888671875	651.1060791015625	33591.0	510.37879943847656	814.1761779785156	97.07122802734375	55.774135620333254
sub-02_task-OP_bold	0.0009758901515151515	0.013206226174242424	0	22.322708947741923	1.0772246186337764	0.9703592647248581	0.559119082885115	2610.534912109375	0.04472245896763113	0	0.0	1.8463592948234897	1.7300466666666667	2.0714937033711545	1.7375375144326481	0.096902	0.005277006421238184	0.02633315697312355	528	64	64	42	6.193550483632642	2.5	3.0	3.000004291534424	3.000004291534424	37.53123239329398	13.228294386299314	32.11216354370117	14.857954978942871	93171.0	3.3598484992980957	117.04640579223633	52.897701263427734	2.1663153687087258	97.4768880418434	660.6585083007812	654.9356079101562	40464.0	499.73770599365236	822.6218780517578	105.74346923828125	46.10551607608795
sub-03_task-OP_bold	0.0008101325757575757	0.011613045227272727	0	25.76069072144213	1.0374593238330176	0.9711693670588232	0.5890120169532742	1364.2830810546875	0.058059354722352866	7	1.3257575757575757	1.7249854678211411	1.69381	1.8715147331165052	1.6096316703469185	0.173426	0.021225474774837494	0.03046792931854725	528	64	64	42	5.778193462846623	2.5	3.0	3.0000030994415283	3.0000030994415283	30.106470317220577	15.732994381426616	40.191802978515625	18.60984992980957	89338.0	4.776515483856201	154.10426864624014	60.59648132324219	1.9274196484594412	96.34100154600651	615.6144409179688	610.4962158203125	44089.0	459.8068359375	782.840185546875	105.65400695800781	43.054073554230854
sub-05_task-OP_bold	0.001734318181818182	0.012845287329545456	0	26.68669302146111	1.108316251916508	0.9508599362239086	0.5984553857942602	1718.7508544921875	0.0506118688742518	1	0.1893939393939394	1.8213060004906116	1.7366766666666666	1.892267293089924	1.8349740417152443	0.114565	0.01890747807919979	0.03524288907647133	528	64	64	42	5.257621219973449	2.5	3.0	3.000004291534424	3.000004291534424	18.65922906988384	16.686294362326368	49.39970779418945	20.558712005615234	85312.0	4.040814685821534	204.14356307983385	79.7298583984375	0.5663553766825276	142.22031903828145	788.3394775390625	776.8068237304688	47307.0	558.7971740722656	1035.9369506835935	147.74716186523438	42.18848850438371
sub-06_task-OP_bold	0.0005541477272727273	0.015589114772727276	0	22.891413704895633	1.0834650982352931	0.9411428023908915	0.5617448558083165	3245.950439453125	0.04563355686593043	5	0.946969696969697	1.7330605199493812	1.6292566666666666	1.938323893872095	1.6316009993093816	0.0146367	0.0033090675715357065	0.0366048626601696	528	64	64	42	6.798895143435796	2.5	3.0	3.000004291534424	3.000004291534424	18.604514286856215	10.187274870307302	35.584659576416016	11.98863697052002	94829.0	3.4553030967712415	158.3261413574216	61.24180603027344	2.078296745301455	83.58875835518222	618.1865844726562	614.8267211914062	39848.0	479.264599609375	759.7077850341799	90.42925262451172	50.04488127492368
sub-07_task-OP_bold	0.003092575757575758	0.012603067083333334	0	25.62409268480075	1.2689623646489574	1.0159752687855794	0.5630464146021315	3175.537109375	0.04021269278321823	0	0.0	1.7074033333333334	1.6000233333333334	1.86596	1.6562266666666667	0.104483	0.0003974565479438752	0.038730863481760025	528	64	64	42	6.5544070959138345	2.5	3.0	3.0	3.0	15.52322733062444	10.310825290836044	38.50374984741211	12.55113697052002	94913.0	3.8011364936828613	165.09432373046863	63.65302658081055	2.3918228697685864	94.51869664633207	649.0239868164062	642.9962158203125	39257.0	509.158740234375	799.8318603515625	98.10010528564453	50.69225049763918
sub-08_task-OP_bold	0.0009048106060606058	0.007115115946969696	0	20.046744334155587	1.0787500872865279	0.9904719023339661	0.5772408612084683	2777.944580078125	0.029115196675855565	0	0.0	1.8303259650584824	1.68943	2.0218271077531225	1.7797207874223253	0.088576	0.0015596264274790883	0.042236000299453735	528	64	64	42	5.963581928706209	2.5	3.0	3.000004291534424	3.000004291534424	17.933296343959558	12.391522593950642	39.510215759277344	14.357954978942871	90171.0	3.534090995788574	164.7689437866211	68.42930603027344	1.8231852076448973	109.01478916289008	709.0086669921875	702.54638671875	43034.0	527.3104370117187	896.2414855957031	117.80474090576172	57.71236710995436
sub-10_task-OP_bold	0.0004636553030303031	0.017394598295454547	0	23.51382607702088	1.037556310132827	0.9384439340796966	0.564232401888839	2207.517578125	0.03879308536543806	0	0.0	1.76564	1.6562999999999999	1.9658066666666667	1.6748133333333335	0.0250023	0.020290955901145935	0.03633856028318405	528	64	64	42	6.582785870175897	2.5	3.0	3.0	3.0	16.298477467017072	14.786710269866067	41.94154739379883	15.907196998596191	95438.0	3.7535038948059087	162.40237121582027	68.21460723876953	1.0569865649236094	97.38001757828685	655.4998779296875	650.7822265625	38447.0	504.96421813964844	812.8971984863281	98.85993194580078	43.437549646012485
sub-11_task-OP_bold	0.003092575757575758	0.012603067083333334	0	25.62409268480075	1.2689623646489574	1.0159752687855794	0.5630464146021315	3175.537109375	0.04021269278321823	0	0.0	1.7074033333333334	1.6000233333333334	1.86596	1.6562266666666667	0.104483	0.0003974565479438752	0.038730863481760025	528	64	64	42	6.5544070959138345	2.5	3.0	3.0	3.0	15.52322733062444	10.310825290836044	38.50374984741211	12.55113697052002	94913.0	3.8011364936828613	165.09432373046863	63.65302658081055	2.3918228697685864	94.51869664633207	649.0239868164062	642.9962158203125	39257.0	509.158740234375	799.8318603515625	98.10010528564453	50.69225049763918
sub-12_task-OP_bold	0.000999715909090909	0.006618350397727273	0	18.966147906148034	1.0927233771726754	0.9931577487666032	0.5931502776566462	2654.810302734375	0.022193469827473646	0	0.0	1.8936533333333336	1.7283266666666668	2.125356666666667	1.8272766666666669	0.0338023	0.01295433472841978	0.04785614833235741	528	64	64	42	5.988959719423606	2.5	3.0	3.0	3.0	19.9689123595169	14.362708991773019	44.28898620605469	16.94507598876953	85983.0	4.621212482452393	182.98106231689442	74.069091796875	0.8520683801472968	126.69235926723007	793.3392944335938	794.1837158203125	46673.0	561.0185546875	996.8360229492188	132.60653686523438	60.671552937012166
